background = 0 0 2592 768
base = 5884 0 250 500
goldCoin1 = 0 3772 32 32
goldCoin2 = 0 3804 32 32
goldCoin3 = 32 3772 32 32
goldCoin4 = 32 3804 32 32
goldCoin5 = 64 3772 32 32
goldCoin6 = 0 3836 32 32
goldCoin7 = 32 3836 32 32
goldCoin8 = 96 3772 32 32
goldCoin9 = 64 3804 32 32
Attack (1) = 1888 1519 587 707
Attack (10) = 944 3021 587 707
Attack (2) = 2475 1519 587 707
Attack (3) = 1888 2226 587 707
Attack (4) = 1531 3021 587 707
Attack (5) = 3062 1502 587 707
Attack (6) = 2475 2226 587 707
Attack (7) = 2118 2933 587 707
Attack (8) = 3062 2209 587 707
Attack (9) = 2705 2933 587 707
Dead (1) = 0 768 944 751
Dead (10) = 944 768 944 751
Dead (2) = 2592 0 944 751
Dead (3) = 1888 768 944 751
Dead (4) = 2832 751 944 751
Dead (5) = 0 1519 944 751
Dead (6) = 0 2270 944 751
Dead (7) = 944 1519 944 751
Dead (8) = 0 3021 944 751
Dead (9) = 944 2270 944 751
Idle (1) = 3292 2916 587 707
Idle (10) = 3536 0 587 707
Idle (2) = 4123 0 587 707
Idle (3) = 3776 707 587 707
Idle (4) = 4710 0 587 707
Idle (5) = 4363 707 587 707
Idle (6) = 3649 1502 587 707
Idle (7) = 5297 0 587 707
Idle (8) = 4950 707 587 707
Idle (9) = 4236 1414 587 707
Walk (1) = 3649 2209 587 707
Walk (10) = 4823 1414 587 707
Walk (2) = 5537 707 587 707
Walk (3) = 4236 2121 587 707
Walk (4) = 3879 2916 587 707
Walk (5) = 5410 1414 587 707
Walk (6) = 4823 2121 587 707
Walk (7) = 4466 2828 587 707
Walk (8) = 5410 2121 587 707
Walk (9) = 5053 2828 587 707
book = 2118 3640 200 200
